,Bintang,Pengguna,Komen,Tanggal
0,Rated 5 stars out of five stars,Briliandaru M Pribadi,"Nice apps. It's very helpful, especially when I don't have time to buy groceries and meat in supermarket.","February 24, 2020"
1,Rated 5 stars out of five stars,Élise Faulkner,"Great price and lots of promo. App is also very straightforward and easy to use. The brand itself is very responsible and has great customer service handling, very impressive!","February 14, 2020"
2,Rated 5 stars out of five stars,Tania Anggraini,"Easy to buy, simple, Fresh quality, Excellent Packing, Good Price, Excellent Service Delivery.","February 20, 2020"
3,Rated 1 stars out of five stars,elf _ycel,"You have a lot of foreigners in Indonesia, please consider having an option on the app to be in ENGLISH language so it is easier to understand what you are selling and how to order! It will ve a big help! Thank you.","February 16, 2020"
4,Rated 5 stars out of five stars,J,Helpful app. The veggie & fruits are always fresh. Keep up the quality👍,"February 23, 2020"
5,Rated 4 stars out of five stars,Carolina Susanto,Great application. User friendly but so metimes application turn off by itself.,"February 3, 2020"
6,Rated 2 stars out of five stars,Nani Naafilah,"it said network error, my wifi is just fine. I cannot search for vegetables and fruits i wanted","February 19, 2020"
7,Rated 4 stars out of five stars,Lalitya Anindita,"It's a helpfull app, but it needs more improvement for the search options","February 7, 2020"
8,Rated 5 stars out of five stars,Robmais,"No plastic packaging, cheap and fast.","February 18, 2020"
9,Rated 5 stars out of five stars,Natalia Lee,"It's March 2020. So far I have tried some groceries apps, it's not perfect but I can tell sayur box is the best. I had my second order, overall I am satisfied with the products, the price, the delivery and the customer service.","March 1, 2020"
10,Rated 4 stars out of five stars,Taufik Haryanto,"Nice and helpful apps with simple UI. Some inputs : 1. Adding filter feature will be helpful. For example we need to filter fruit by category: ""Organic"", and also ""source of vitamin D"", and ""high fat"" then it may result Avocado (I don't kniwnif it is correct or not, just example) which farmed in org...
Full Review","January 21, 2020"
11,Rated 5 stars out of five stars,Samuel Kurniawan,"Free delivery, fresh fruits and vegetables","February 15, 2020"
12,Rated 4 stars out of five stars,Anggi Ag,Nice app..easy n simple to order,"February 23, 2020"
13,Rated 5 stars out of five stars,Yunanto Purnomo,"Good packaging,fast delivery,affordable price compared to supermarket,and the most important : fruits quality is satisfying..definitely order again","January 26, 2020"
14,Rated 5 stars out of five stars,Lidya Fransisca,Sayur box give the best quality for every fruit And all vegetable is always fresh,"March 1, 2020"
15,Rated 5 stars out of five stars,Vereline Lee,"Great apps, recommended to other user! My order has been delivered on time with the freshness of vegetables and fruits.. Easy to use and great value, busy mother like me need no worries to provide daily food for my family.. Thanks to sayurbox!","December 18, 2019"
16,Rated 4 stars out of five stars,RiniR _,such a good and helpful app. The price is better than a competitor app. All products are fresh and the delivery was on time. Keep it up,"December 17, 2019"
17,Rated 5 stars out of five stars,Purwani Febriyanti,"Great apps !! So helpfull to find groceries without leaving home, please add more meat, fish and protein. Keep it up !!!","December 27, 2019"
18,Rated 5 stars out of five stars,Omar A,"Good quality of product, always satisfied. Variants of fruits and vegetables are the best.","December 28, 2019"
19,Rated 5 stars out of five stars,arlista putri,"Easy apps, a lot of promo, the messenger are kind, valuable price, and absolutely plasticless","January 22, 2020"
20,Rated 2 stars out of five stars,Maylisa Putri,There a problem with the app.. The app immediately closes when i press a feature or search for something.,"December 14, 2019"
21,Rated 5 stars out of five stars,Firstari Vashti,A new way to restock the fridge without leaving the house. Very helpful. App works very well. The chat feature also works well. The costumers service respond to the chat quickly.,"November 15, 2019"
22,Rated 5 stars out of five stars,Zakia Syifa,Very convenient! Suitable for working households who like to come home late and no time for grocery shopping!,"December 18, 2019"
23,Rated 1 stars out of five stars,Felisia F,Always network error Even I have good signal and switched to my mobile data. What does the matter?,"January 16, 2020"
24,Rated 5 stars out of five stars,Surya Baskara,"It was worked, I got my package in two days, even though I've just order promotion items, thank you sayurbox, it was very helpful","January 28, 2020"
25,Rated 5 stars out of five stars,dede setianingsih,"Fast delivery, cheaper than supermarket, and the important thing is the vegetables is very good condition. Thanks","December 28, 2019"
26,Rated 5 stars out of five stars,Winda Ayu,So helpful apps that bring real food for everyone with the best price! Love your promos! ♥️,"January 5, 2020"
27,Rated 5 stars out of five stars,Irine Natalia,"Good app to buy groceries, I get lots of promo here and the price is cheap. Suggestion: should add more meat selection, and some UI elements are slow when clicked.","December 5, 2019"
28,Rated 1 stars out of five stars,Sundari Ika Binarti Ika,Not all the fruits n vegetables are fresh and good,"February 11, 2020"
29,Rated 5 stars out of five stars,Niena Khotimah,It's very easy to use. And very convinence to order veggies and fruit with this app. Love it!,"October 31, 2019"
30,Rated 5 stars out of five stars,Vina Ikawati Agustin,This apps really helps me to buy fruits when im just too lazy to go out to supermarket or to a market. Thankyou sayurbox ❤,"February 17, 2020"
31,Rated 5 stars out of five stars,Clarissa Irene,"Good veggies and fruits, with convenient delivery method. Love it!","October 31, 2019"
32,Rated 5 stars out of five stars,Jenie Kesuma,"Service ok, akan repeat order","March 8, 2020"
33,Rated 1 stars out of five stars,Mustika D Ratnaningrum,"Whenever i push the chekout button, the app is always suddenly closed. So until now i cant't buy anything. Pls fix this. I use samsung A9 2018 btw","November 19, 2019"
34,Rated 2 stars out of five stars,leadsin99er,"Sometimes packaging is bad. Vegetables arrive wet inside plastic. It Rots when it's supposed to be wrapped in paper. Sometimes quality of fruits amd veges arent gd. Esp the discounted ones. Also. quite a few missing items AFTER u paid for ur order. u dont get a refund but a voucher. They have too li...
Full Review","December 13, 2019"
35,Rated 5 stars out of five stars,Nurul Habibah,Very good app for simple person its easy to use. good quality product. Thank you,"November 11, 2019"
36,Rated 5 stars out of five stars,SWASTIKAYEYOO,"It is such a good aplication.. So helpful and the price is make me happy to shop here.. Thankyou.. Keep improving yourself, sayur box!! 😁","November 25, 2019"
37,Rated 5 stars out of five stars,Mariani Dewi,Fast delivery. Considerably reliable product quality.,"December 17, 2019"
38,Rated 5 stars out of five stars,anis kamilah,"Very easy and helpful apps, I just wish they will expand the delivery area...","October 29, 2019"
39,Rated 5 stars out of five stars,nana nury,"Great service, fresh fruits and veggies and the price as affordable as in the traditional market","December 10, 2019"
40,Rated 5 stars out of five stars,Beni Ananto,Sayurbox helps me easier for shopping vegetables and fruits.,"December 24, 2019"
41,Rated 5 stars out of five stars,C Stmrg,Good app and easy to use. Very convenient,"November 23, 2019"
42,Rated 5 stars out of five stars,alexandra veranika,The application is easy to use. Love it ! 😊👍,"December 22, 2019"
43,Rated 5 stars out of five stars,Muhammad Khalid,"Easy way to order fresh produce, farm to table!","November 21, 2019"
44,Rated 1 stars out of five stars,Elia Cokorudy,"I installed this app based on a recommendation of a friend but I was extremely disappointed on my first experience. I received moldy grape & I did not receive an item which I paid already. I emailed the customer care but did not get any response. I texted the customer care through the app, they aske...
Full Review","January 5, 2020"
45,Rated 5 stars out of five stars,Arlene Awuy,Helpful apps to buy healthy veggies for your needs,"November 5, 2019"
46,Rated 5 stars out of five stars,Panca Nugraha Wulansari,Good service..fast delivery and fresh vegetable 👍👍👍👍,"October 26, 2019"
47,Rated 5 stars out of five stars,Wully Ramadhani,Good quality of product n easy application to use,"November 25, 2019"
48,Rated 5 stars out of five stars,venissa cuputra,Very good and usefull,"March 5, 2020"
49,Rated 1 stars out of five stars,Sindhu Subramanya,Please chk ur app. Not able to do anything. The review screen keeps poping for everything.,"December 11, 2019"
50,Rated 5 stars out of five stars,Melisa Andriani,Great! Helpful service,"February 23, 2020"
51,Rated 4 stars out of five stars,Diana S,"1 of my order stuck in progress, cant end","February 29, 2020"
52,Rated 4 stars out of five stars,Yusuf Rahmadi,Should have a feature which user can save their address instead always typing in every order,"November 28, 2019"
53,Rated 4 stars out of five stars,ridha ikhsan,The shopping system is good,"December 23, 2019"
54,Rated 5 stars out of five stars,Rakesh Sharma,Delivery is great. On time. Quality is good. And Prices are very reasonable.,"December 30, 2019"
55,Rated 5 stars out of five stars,Eva Andreanty,"Easy for buy vegetables and fruits .... and good quality 👍👍👍, the aplication user friendly but please give us the more more others item for fruits and vegetable. Thanks Sayurbox..... you help my family for buying all we are need.","November 4, 2019"
56,Rated 5 stars out of five stars,Jones Ordinary,"I really love it, the apps, the service.. no doubt","December 11, 2019"
