"X","Bintang","Pengguna","Komen","Tanggal"
0,"Rated 5 stars out of five stars","Briliandaru M Pribadi","Nice apps. It's very helpful, especially when I don't have time to buy groceries and meat in supermarket.",2020-02-24
1,"Rated 5 stars out of five stars","Élise Faulkner","Great price and lots of promo. App is also very straightforward and easy to use. The brand itself is very responsible and has great customer service handling, very impressive!",2020-02-14
2,"Rated 5 stars out of five stars","Tania Anggraini","Easy to buy, simple, Fresh quality, Excellent Packing, Good Price, Excellent Service Delivery.",2020-02-20
3,"Rated 1 stars out of five stars","elf _ycel","You have a lot of foreigners in Indonesia, please consider having an option on the app to be in ENGLISH language so it is easier to understand what you are selling and how to order! It will ve a big help! Thank you.",2020-02-16
4,"Rated 5 stars out of five stars","J","Helpful app. The veggie & fruits are always fresh. Keep up the quality👍",2020-02-23
5,"Rated 4 stars out of five stars","Carolina Susanto","Great application. User friendly but so metimes application turn off by itself.",2020-02-03
6,"Rated 2 stars out of five stars","Nani Naafilah","it said network error, my wifi is just fine. I cannot search for vegetables and fruits i wanted",2020-02-19
7,"Rated 4 stars out of five stars","Lalitya Anindita","It's a helpfull app, but it needs more improvement for the search options",2020-02-07
8,"Rated 5 stars out of five stars","Robmais","No plastic packaging, cheap and fast.",2020-02-18
9,"Rated 5 stars out of five stars","Natalia Lee","It's March 2020. So far I have tried some groceries apps, it's not perfect but I can tell sayur box is the best. I had my second order, overall I am satisfied with the products, the price, the delivery and the customer service.",2020-03-01
10,"Rated 4 stars out of five stars","Taufik Haryanto","Nice and helpful apps with simple UI. Some inputs : 1. Adding filter feature will be helpful. For example we need to filter fruit by category: ""Organic"", and also ""source of vitamin D"", and ""high fat"" then it may result Avocado (I don't kniwnif it is correct or not, just example) which farmed in org...
Full Review",2020-01-21
11,"Rated 5 stars out of five stars","Samuel Kurniawan","Free delivery, fresh fruits and vegetables",2020-02-15
12,"Rated 4 stars out of five stars","Anggi Ag","Nice app..easy n simple to order",2020-02-23
13,"Rated 5 stars out of five stars","Yunanto Purnomo","Good packaging,fast delivery,affordable price compared to supermarket,and the most important : fruits quality is satisfying..definitely order again",2020-01-26
14,"Rated 5 stars out of five stars","Lidya Fransisca","Sayur box give the best quality for every fruit And all vegetable is always fresh",2020-03-01
15,"Rated 5 stars out of five stars","Vereline Lee","Great apps, recommended to other user! My order has been delivered on time with the freshness of vegetables and fruits.. Easy to use and great value, busy mother like me need no worries to provide daily food for my family.. Thanks to sayurbox!",2019-12-18
16,"Rated 4 stars out of five stars","RiniR _","such a good and helpful app. The price is better than a competitor app. All products are fresh and the delivery was on time. Keep it up",2019-12-17
